date,RFF_Power
2019-09-30,217.9207714120575
2019-10-01,245.01691476666934
2019-10-02,307.25310979022044
2019-10-03,300.43754220643405
2019-10-04,264.5787645485141
2019-10-05,287.4550038799557
2019-10-06,314.0763815473303
2019-10-07,321.06576051558426
2019-10-08,337.37158856757037
2019-10-09,325.5112005370531
2019-10-10,337.37158856757037
2019-10-11,308.69494270664825
2019-10-12,327.1584111212363
2019-10-13,327.1584111212363
2019-10-14,291.4828885564506
2019-10-15,327.1584111212363
2019-10-16,308.69494270664825
2019-10-17,327.1584111212363
2019-10-18,280.7217476834347
2019-10-19,280.7217476834347
2019-10-20,321.06576051558426
2019-10-21,321.06576051558426
2019-10-22,321.06576051558426
2019-10-23,297.09709316567
2019-10-24,291.4828885564506
2019-10-25,291.4828885564506
2019-10-26,277.08552806617604
2019-10-27,344.9582465401443
